?,?????,??????, ????? , ?????? ,?????,???????
110,KDL angiography  Catheter Sim 2 5f,1, 833.3 , 833.3 ,1-???? ?????? ???????,1/15/2024
263,KDL angiography  Catheter RIM -5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,1/27/2024
264,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,1/27/2024
265,PTA Balloon _ATROPOS 0.35 _819-070040-90,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,1/27/2024
266,KDL angiography  Catheter RIM -5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,1/27/2024
267,BARTY Cross over 55c-6f,1," 4,824.6 "," 4,824.6 ",1-???? ?????? ???????,1/27/2024
268,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,1/27/2024
269,Peripheral Drug-eluting Stent System Zx06150125A,1," 16,500.0 "," 16,500.0 ",1-???? ?????? ???????,1/27/2024
270,PTA Balloon _ATROPOS 0.35 _819-060150-150,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,1/27/2024
271,KDL angiography  Catheter Ver  5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,1/27/2024
272,KDL angiography  Catheter Ver  5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,1/27/2024
273,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,1/27/2024
274,PTA Balloon _ATROPOS 0.35 _819-040100-150,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,1/27/2024
292,KDL_Introducer set transradial 5F,1, 438.6 , 438.6 ,1-???? ?????? ???????,1/30/2024
293,KDL angiography  Catheter PIG 5f,1, 416.7 , 416.7 ,1-???? ?????? ???????,1/30/2024
327,Conger Hydrophilic Guide Wire  0.35/260 stiff ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,1/31/2024
328,KDL angiography  Catheter RIM -5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,1/31/2024
329,BARTY Cross over 55c-6f,1," 4,824.6 "," 4,824.6 ",1-???? ?????? ???????,1/31/2024
330,PTA Balloon _ATROPOS 0.35 _819-050200-150,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,1/31/2024
452,PTA Balloon _ATROPOS 0.35 _819-050200-150,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,2/7/2024
453,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,2/7/2024
454,KDL angiography  Catheter RIM -5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,2/7/2024
455,Peripheral Stent System ZX06100125B,1," 16,500.0 "," 16,500.0 ",1-???? ?????? ???????,2/7/2024
456,PTA Balloon _ATROPOS 0.35 _819-060150-150,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,2/7/2024
457,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,2/7/2024
458,KDL angiography  Catheter Ver  5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,2/7/2024
459,Peripheral Stent System ZX07120125B,1," 16,500.0 "," 16,500.0 ",1-???? ?????? ???????,2/7/2024
460,Peripheral Drug-eluting Stent System Zx06120125A,1," 16,500.0 "," 16,500.0 ",1-???? ?????? ???????,2/7/2024
461,BARTY long sheath straight  110c-6f,1," 5,701.8 "," 5,701.8 ",1-???? ?????? ???????,2/7/2024
462,PTA Balloon _ATROPOS 0.35 _819-050200-150,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,2/7/2024
463,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 1,622.8 "," 1,622.8 ",1-???? ?????? ???????,2/7/2024
464,KDL angiography  Catheter RIM -5F,1, 833.3 , 833.3 ,1-???? ?????? ???????,2/7/2024
465,Peripheral Stent System ZX07120125B,1," 16,500.0 "," 16,500.0 ",1-???? ?????? ???????,2/7/2024
633,KDL_Introducer set femoral 9F,1," 3,508.8 "," 3,508.8 ",1-???? ?????? ???????,2/13/2024
942,PTA Balloon _ATROPOS 0.35 _819-030200-150,1," 4,386.0 "," 4,386.0 ",1-???? ?????? ???????,3/3/2024
943,BARTY Cross over 55c-6f,1," 6,579.0 "," 6,579.0 ",1-???? ?????? ???????,3/3/2024
944,KDL angiography  Catheter RIM -5F,1," 1,096.5 "," 1,096.5 ",1-???? ?????? ???????,3/3/2024
389,KDL_Introducer set femoral 9F,1," 3,070.2 "," 3,070.2 ",1-?????? ?????? ??????,2/5/2024
1369,PTA Balloon _ATROPOS 0.35 _819-060200-150,1," 6,140.4 "," 6,140.4 ",1-?????? ?????? ??????,3/25/2024
1370,PTA Balloon _ATROPOS 0.35 _819-070040-90,1," 6,140.4 "," 6,140.4 ",1-?????? ?????? ??????,3/25/2024
1371,BARTY long sheath straight   90c-6F,1," 8,333.3 "," 8,333.3 ",1-?????? ?????? ??????,3/25/2024
1372,KDL_Introducer set transradial 6F_110mm,1, 614.4 , 614.4 ,1-?????? ?????? ??????,3/25/2024
902,SUNMED_Disposable Needle,100, 39.5 ," 3,947.4 ",1-?????? ??????? ????????,2/28/2024
1340,PTA Balloon _ATROPOS 0.35 _819-060060-150,1," 5,701.8 "," 5,701.8 ",1-?????? ??????? ????????,3/23/2024
1341,KDL angiography  Catheter Ver  5F,1," 1,359.7 "," 1,359.7 ",1-?????? ??????? ????????,3/23/2024
18,PTA Balloon _MINERVA 0.18 _803-030080-150,1," 5,219.3 "," 5,219.3 ",1-?????? ?????????,1/3/2024
60,PTA Balloon _MINERVA 0.18 _803-030080-150,1," 5,219.3 "," 5,219.3 ",1-?????? ?????????,1/10/2024
61,PTA Balloon _ACHILLES 0.18 804-025080-150,1," 5,219.3 "," 5,219.3 ",1-?????? ?????????,1/10/2024
156,KDL_Introducer set femoral 8F,4, 530.7 ," 2,122.8 ",1-?????? ?????????,1/17/2024
157,PTA Balloon _MINERVA 0.18 _803-030200-150,1," 5,219.3 "," 5,219.3 ",1-?????? ?????????,1/17/2024
158,PTA Balloon _MINERVA 0.18 _803-030200-150,1," 5,219.3 "," 5,219.3 ",1-?????? ?????????,1/17/2024
348,PTA Balloon _ATROPOS 0.35 _819-050060-150,1," 4,539.5 "," 4,539.5 ",1-?????? ?????????,1/31/2024
1025,PTA Balloon _ATROPOS 0.35 _819-030080-150,1," 4,539.5 "," 4,539.5 ",1-?????? ?????????,3/4/2024
1026,PTA Balloon _ATROPOS 0.35 _819-040100-150,1," 4,539.5 "," 4,539.5 ",1-?????? ?????????,3/4/2024
1027,PTA Balloon _ATROPOS 0.35 _819-050200-150,1," 4,539.5 "," 4,539.5 ",1-?????? ?????????,3/4/2024
1028,KDL_Introducer set femoral 8F,7, 530.7 ," 3,714.9 ",1-?????? ?????????,3/4/2024
1029,KDL-INT PTA Wire 0.18×300,1," 3,508.8 "," 3,508.8 ",1-?????? ?????????,3/4/2024
1,KDL_Introducer set femoral 8F,30, 460.5 ," 13,815.6 ",1-?????? ??? ??????,1/1/2024
675,PTA Balloon Drug Coated ZY130050022035A,1," 20,175.4 "," 20,175.4 ",1-?????? ??? ??????,2/14/2024
792,KDL angiography  Catheter JL4.0 5F,15, 570.2 ," 8,552.6 ",1-?????? ??? ??????,2/22/2024
793,KDL angiography  Catheter JL4.0 5F,15, 570.2 ," 8,552.6 ",1-?????? ??? ??????,2/22/2024
1163,PTA Balloon _MINERVA 0.18 _803-030080-150,1," 5,701.8 "," 5,701.8 ",1-?????? ??? ??????,3/10/2024
1423,SUNMED_Manifold and stopcocks,160, 105.3 ," 16,842.1 ",1-?????? ??? ???????,3/28/2024
469,KDL angiography  Catheter RIM -5F,1," 1,008.8 "," 1,008.8 ",1-???????? ??? ??????,2/7/2024
470,BARTY Cross over 55c-6f,1," 5,548.3 "," 5,548.3 ",1-???????? ??? ??????,2/7/2024
549,KDL angiography  Catheter Ver  5F,1," 1,096.5 "," 1,096.5 ",1-???????? ??? ??????,2/10/2024
550,KDL angiography  Catheter RIM -5F,1," 1,096.5 "," 1,096.5 ",1-???????? ??? ??????,2/10/2024
551,BARTY Cross over 55c-6f,1," 6,578.9 "," 6,578.9 ",1-???????? ??? ??????,2/10/2024
552,KDL_Introducer set femoral 8F,1, 614.0 , 614.0 ,1-???????? ??? ??????,2/10/2024
553,SUNMED _Inflation Device,1, 614.0 , 614.0 ,1-???????? ??? ??????,2/10/2024
908,PTA Balloon _ATROPOS 0.35 _819-030200-150,1," 4,386.0 "," 4,386.0 ",1-???????? ??? ??????,2/28/2024
909,PTA Balloon _ATROPOS 0.35 _819-040040-150,1," 4,386.0 "," 4,386.0 ",1-???????? ??? ??????,2/28/2024
910,BARTY Cross over 55c-6f,1," 6,579.0 "," 6,579.0 ",1-???????? ??? ??????,2/28/2024
911,KDL angiography  Catheter Ver  5F,1," 1,096.5 "," 1,096.5 ",1-???????? ??? ??????,2/28/2024
912,PTA Balloon _ATROPOS 0.35 _819-030150-150,1," 4,386.0 "," 4,386.0 ",1-???????? ??? ??????,2/28/2024
1278,Peripheral Stent System ZX07150125B,1," 24,000.0 "," 24,000.0 ",1-???????? ??? ??????,3/19/2024
1279,KDL_Introducer set femoral 8F,1, 614.0 , 614.0 ,1-???????? ??? ??????,3/19/2024
1280,BARTY Cross over 55c-6f,1," 6,579.0 "," 6,579.0 ",1-???????? ??? ??????,3/19/2024
1367,BARTY Cross over 55c-6f,1," 8,333.3 "," 8,333.3 ",1-???????? ??? ??????,3/24/2024
1368,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 2,412.3 "," 2,412.3 ",1-???????? ??? ??????,3/24/2024
1436,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 2,412.3 "," 2,412.3 ",1-???????? ??? ??????,3/28/2024
201,KDL_Introducer set femoral 8F,5, 404.0 ," 2,019.8 ",10-?????? ?????? ??????? Alameda,1/20/2024
870,PTA Balloon _MINERVA 0.18 _803-030150-150,1," 5,701.8 "," 5,701.8 ",10-?????? ?????? ??????? Alameda,2/27/2024
884,PTA Balloon _ATROPOS 0.35 _819-030200-150,1," 4,824.6 "," 4,824.6 ",10-???????? ???????? ??? ???????,2/27/2024
885,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,1," 2,631.6 "," 2,631.6 ",10-???????? ???????? ??? ???????,2/27/2024
62,KDL angiography  Catheter Sim 2 5f,5, 921.1 ," 4,605.3 ",10-???????? ???????,1/10/2024
80,KDL_Introducer set femoral 7F,10, 372.8 ," 3,728.1 ",10-???????? ???????,1/11/2024
81,KDL_Introducer set femoral 8F,5, 460.5 ," 2,302.6 ",10-???????? ???????,1/11/2024
159,KDL angiography  Catheter Ver  5F,10, 921.1 ," 9,210.5 ",10-???????? ???????,1/17/2024
218,KDL angiography  Catheter AL1  6F,5, 482.5 ," 2,412.3 ",10-???????? ???????,1/21/2024
246,KDL angiography  Catheter Ver  5F,10, 921.1 ," 9,210.5 ",10-???????? ???????,1/24/2024
247,KDL_Introducer set femoral 7F,5, 372.8 ," 1,864.0 ",10-???????? ???????,1/24/2024
248,KDL_Introducer set femoral 8F,2, 460.5 , 921.1 ,10-???????? ???????,1/24/2024
509,KDL angiography  Catheter Ver  5F,15," 1,096.5 "," 16,447.4 ",10-???????? ???????,2/10/2024
721,KDL_Introducer set femoral 8F,10, 548.2 ," 5,482.5 ",10-???????? ???????,2/19/2024
722,KDL PRESSURE bandage,20, 394.7 ," 7,894.7 ",10-???????? ???????,2/19/2024
774,KDL angiography  Catheter JR3.5   5F,5, 526.3 ," 2,631.6 ",10-???????? ???????,2/20/2024
1112,KDL angiography  Catheter JL3.5 6F,50, 482.5 ," 24,122.8 ",10-???????? ???????,3/6/2024
1113,KDL angiography  Catheter JR3.5   6F,50, 482.5 ," 24,122.8 ",10-???????? ???????,3/6/2024
1259,KDL angiography  Catheter Ver  5F,20," 1,359.6 "," 27,193.0 ",10-???????? ???????,3/18/2024
1272,SUNMED_TR Closure band,20, 438.6 ," 8,771.9 ",10-???????? ???????,3/18/2024
1273,KDL angiography  Catheter JR3.5   5F,10, 570.2 ," 5,701.8 ",10-???????? ???????,3/18/2024
279,KDL angiography  Catheter MP 5F,10, 482.5 ," 4,824.6 ",10-???? ?????,1/27/2024
280,KDL angiography  Catheter MP  4F,10, 394.7 ," 3,947.4 ",10-???? ?????,1/27/2024
283,KDL angiography  Catheter PIG 5f,10, 482.5 ," 4,824.6 ",10-???? ?????,1/27/2024
396,stent Resolute Integrity 2.50-18,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
397,stent Resolute Integrity 2.50-22,2," 4,300.0 "," 8,600.0 ",10-???? ?????,2/6/2024
398,stent Resolute Integrity 2.50-22,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
399,stent Resolute Integrity 2.50-26,5," 4,300.0 "," 21,500.0 ",10-???? ?????,2/6/2024
400,stent Resolute Integrity 2.50-30,5," 4,300.0 "," 21,500.0 ",10-???? ?????,2/6/2024
401,stent Resolute Integrity 2.75-18,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
402,stent Resolute Integrity 2.75-18,2," 4,300.0 "," 8,600.0 ",10-???? ?????,2/6/2024
403,stent Resolute Integrity 2.75-22,5," 4,300.0 "," 21,500.0 ",10-???? ?????,2/6/2024
404,stent Resolute Integrity 2.75-26,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
405,stent Resolute Integrity 2.75-30,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
406,stent Resolute Integrity 3.00-18,3," 4,300.0 "," 12,900.0 ",10-???? ?????,2/6/2024
407,stent Resolute Integrity 3.00-22,7," 4,300.0 "," 30,100.0 ",10-???? ?????,2/6/2024
408,stent Resolute Integrity 3.00-26,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
409,stent Resolute Integrity 3.00-26,4," 4,300.0 "," 17,200.0 ",10-???? ?????,2/6/2024
410,stent Resolute Integrity 3.00-30,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
411,stent Resolute Integrity 3.00-30,5," 4,300.0 "," 21,500.0 ",10-???? ?????,2/6/2024
412,stent Resolute Integrity 3.00-34,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
413,stent Resolute Integrity 3.00-38,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
414,stent Resolute Integrity 3.50-18,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
415,stent Resolute Integrity 3.50-18,4," 4,300.0 "," 17,200.0 ",10-???? ?????,2/6/2024
416,stent Resolute Integrity 3.50-22,3," 4,300.0 "," 12,900.0 ",10-???? ?????,2/6/2024
417,stent Resolute Integrity 3.50-22,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
418,stent Resolute Integrity 3.50-22,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
419,stent Resolute Integrity 3.50-26,1," 4,300.0 "," 4,300.0 ",10-???? ?????,2/6/2024
420,stent Resolute Integrity 3.50-26,2," 4,300.0 "," 8,600.0 ",10-???? ?????,2/6/2024
421,stent Resolute Integrity 3.50-30,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
422,stent Resolute Integrity 3.50-34,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
423,stent Resolute Integrity 3.50-38,6," 4,300.0 "," 25,800.0 ",10-???? ?????,2/6/2024
424,stent Resolute Integrity 3.00-26,2," 4,300.0 "," 8,600.0 ",10-???? ?????,2/6/2024
822,PTA Balloon _ATROPOS 0.35 _819-030200-150,1," 4,210.5 "," 4,210.5 ",10-???? ?????,2/24/2024
94,SUNMED_Guide wire 260cm*0.35_ J-tip,11, 475.0 ," 5,225.0 ",10-?????? ??????? ???????,1/13/2024
95,BARTY MPA curved  70c-6f,1," 5,500.0 "," 5,500.0 ",10-?????? ??????? ???????,1/13/2024
102,SUNMED_Guide wire 0.038x150cm_ J-tip,24, 180.0 ," 4,320.0 ",10-?????? ??????? ???????,1/13/2024
645,SUNMED_TR Closure band,15, 400.0 ," 6,000.0 ",10-?????? ??????? ???????,2/14/2024
646,KDL angiography  Catheter PIG 6f,10, 550.0 ," 5,500.0 ",10-?????? ??????? ???????,2/14/2024
647,KDL angiography  Catheter JR3.5   6F,20, 550.0 ," 11,000.0 ",10-?????? ??????? ???????,2/14/2024
648,KDL angiography  Catheter JL3.5 6F,10, 550.0 ," 5,500.0 ",10-?????? ??????? ???????,2/14/2024
649,KDL angiography  Catheter AL1  6F,14, 550.0 ," 7,700.0 ",10-?????? ??????? ???????,2/14/2024
650,KDL angiography  Catheter AL2  6F,2, 550.0 ," 1,100.0 ",10-?????? ??????? ???????,2/14/2024
651,KDL_Introducer set femoral 7F,25, 425.0 ," 10,625.0 ",10-?????? ??????? ???????,2/14/2024
1179,PTA Balloon _ATROPOS 0.35 _819-030120-150,2," 5,000.0 "," 10,000.0 ",10-?????? ??????? ???????,3/13/2024
1180,PTA Balloon _ATROPOS 0.35 _819-030150-150,2," 5,000.0 "," 10,000.0 ",10-?????? ??????? ???????,3/13/2024
1181,PTA Balloon _ATROPOS 0.35 _819-040150-150,2," 5,000.0 "," 10,000.0 ",10-?????? ??????? ???????,3/13/2024
1182,PTA Balloon _ATROPOS 0.35 _819-040200-150,2," 5,000.0 "," 10,000.0 ",10-?????? ??????? ???????,3/13/2024
1183,PTA Balloon _ATROPOS 0.35 _819-050100-150,1," 5,000.0 "," 5,000.0 ",10-?????? ??????? ???????,3/13/2024
1184,PTA Balloon _ATROPOS 0.35 _819-050120-150,1," 5,000.0 "," 5,000.0 ",10-?????? ??????? ???????,3/13/2024
1185,PTA Balloon _ATROPOS 0.35 _819-050150-150,1," 5,000.0 "," 5,000.0 ",10-?????? ??????? ???????,3/13/2024
1186,PTA Balloon _ATROPOS 0.35 _819-050200-150,1," 5,000.0 "," 5,000.0 ",10-?????? ??????? ???????,3/13/2024
1187,PTA Balloon _ATROPOS 0.35 _819-060120-150,1," 5,000.0 "," 5,000.0 ",10-?????? ??????? ???????,3/13/2024
1188,PTA Balloon _ATROPOS 0.35 _819-060150-150,2," 5,000.0 "," 10,000.0 ",10-?????? ??????? ???????,3/13/2024
1189,PTA Balloon _ATROPOS 0.35 _819-100040-90,2," 5,000.0 "," 10,000.0 ",10-?????? ??????? ???????,3/13/2024
1190,PTA Balloon _ATROPOS 0.35 _819-100060-90,1," 5,000.0 "," 5,000.0 ",10-?????? ??????? ???????,3/13/2024
1191,Peripheral Stent System ZX08100125B,1," 23,000.0 "," 23,000.0 ",10-?????? ??????? ???????,3/13/2024
1192,Peripheral Stent System ZX06150125B,1," 23,000.0 "," 23,000.0 ",10-?????? ??????? ???????,3/13/2024
118,KDL angiography  Catheter Sim 2 5f-125cm,1, 900.0 , 900.0 ,10-?????? ????? ??????,1/15/2024
121,SUNMED_Manifold and stopcocks,150, 59.6 ," 8,947.4 ",10-?????? ????? ??????,1/16/2024
122,SUNMED_Guide wire 260cm*0.35_ J-tip,25, 377.2 ," 9,429.8 ",10-?????? ????? ??????,1/16/2024
123,SUNMED_Haemostatic valves p&p,30, 153.5 ," 4,605.3 ",10-?????? ????? ??????,1/16/2024
208,KDL angiography  Catheter 3DRC,40, 390.4 ," 15,614.0 ",10-?????? ????? ??????,1/20/2024
209,KDL angiography  Catheter AL1  6F,10, 390.4 ," 3,903.5 ",10-?????? ????? ??????,1/20/2024
257,KDL angiography  Catheter JL3.5 6F,20, 394.7 ," 7,894.7 ",10-?????? ????????,1/24/2024
258,KDL angiography  Catheter JL4.0 6F,25, 394.7 ," 9,868.4 ",10-?????? ????????,1/24/2024
259,KDL angiography  Catheter AL1  6F,5, 394.7 ," 1,973.7 ",10-?????? ????????,1/24/2024
653,KDL angiography  Catheter JR3.5   6F,50, 438.6 ," 21,929.8 ",10-?????? ????????,2/14/2024
654,KDL angiography  Catheter JL3.5 6F,50, 438.6 ," 21,929.8 ",10-?????? ????????,2/14/2024
655,KDL angiography  Catheter JL4.0 6F,50, 438.6 ," 21,929.8 ",10-?????? ????????,2/14/2024
656,KDL angiography  Catheter JR4.0   6F,40, 438.6 ," 17,543.9 ",10-?????? ????????,2/14/2024
657,KDL angiography  Catheter 3DRC,40, 438.6 ," 17,543.9 ",10-?????? ????????,2/14/2024
658,SUNMED_Guide wire 0.038x150cm_ J-tip,100, 210.5 ," 21,052.6 ",10-?????? ????????,2/14/2024
659,SUNMED_Haemostatic valves p&p,25, 210.5 ," 5,263.2 ",10-?????? ????????,2/14/2024
928,Conger Hydrophilic Guide Wire  0.35/260 Standard ANG-TIP,2," 2,000.0 "," 4,000.0 ",10-?????? ????????,2/29/2024
929,KDL-INT PTA Wire 0.18×300,1," 3,000.0 "," 3,000.0 ",10-?????? ????????,2/29/2024
930,PTA Balloon _ATROPOS 0.35 _819-030150-150,1," 4,200.0 "," 4,200.0 ",10-?????? ????????,2/29/2024
111,KDL_Introducer set femoral 6F,3, 271.9 , 815.8 ,10-??? ??? ????? ? ?????,1/15/2024
112,SUNMED_Guide wire 0.035x150cm_ J-tip,20, 157.9 ," 3,157.9 ",10-??? ??? ????? ? ?????,1/15/2024
